code,name,name_tv,gender,function,country_code,disciplines,events,birth_date
1565059,ABDELHADY MOHAMED Omar Khaled,Omar Khaled ABDELHADY MOHAMED,Male,Athlete,EGY,['Shooting'],['25m Rapid Fire Pistol Men'],1998-09-30
1565072,ALEXIUSSON Agnes,Agnes ALEXIUSSON,Female,Athlete,SWE,['Boxing'],"[""Women's 60kg""]",1996-04-19
1565074,IBRAHIM Nebil,Nebil IBRAHIM,Male,Athlete,SWE,['Boxing'],"[""Men's 57kg""]",2000-12-02
1565081,ELSAYED ABUQARN Mai Magdy,Mai Magdy ELSAYED ABUQARN,Female,Athlete,EGY,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",1999-08-23
1565088,ASHMAWY Maggy,Maggy ASHMAWY,Female,Athlete,EGY,['Shooting'],['Trap Women'],1992-10-01
1565100,KROU Youssef,Youssef KROU,Male,Athlete,FRA,['Beach Volleyball'],['Men'],1989-06-19
1565101,GAUTHIER-RAT Arnaud,Arnaud GAUTHIER-RAT,Male,Athlete,FRA,['Beach Volleyball'],['Men'],1996-10-22
1565102,LYNEEL Julien,Julien LYNEEL,Male,Athlete,FRA,['Beach Volleyball'],['Men'],1990-04-15
1565103,BASSEREAU Remi,Remi BASSEREAU,Male,Athlete,FRA,['Beach Volleyball'],['Men'],1999-02-26
1565106,RICHARD Alexia,Alexia RICHARD,Female,Athlete,FRA,['Beach Volleyball'],['Women'],1996-04-03
1565107,PLACETTE Lezana,Lezana PLACETTE,Female,Athlete,FRA,['Beach Volleyball'],['Women'],1997-12-11
1565108,CHAMEREAU Aline,Aline CHAMEREAU,Female,Athlete,FRA,['Beach Volleyball'],['Women'],1996-03-06
1565109,VIEIRA Clemence,Clemence VIEIRA,Female,Athlete,FRA,['Beach Volleyball'],['Women'],2000-11-01
1565114,NDUM Bacar,Bacar NDUM,Male,Athlete,GBS,['Wrestling'],"[""Men's Freestyle 74kg""]",2001-06-20
1565145,IUNA FAFE Diamantino,Diamantino IUNA FAFE,Male,Athlete,GBS,['Wrestling'],"[""Men's Freestyle 57kg""]",2001-06-10
1565147,AUBOECK Felix,Felix AUBOECK,Male,Athlete,AUT,"['Marathon Swimming', 'Swimming']","[""Men's 10km"", ""Men's 200m Freestyle"", ""Men's 400m Freestyle"", ""Men's 800m Freestyle""]",1996-12-19
1565148,BAYER Valentin,Valentin BAYER,Male,Athlete,AUT,['Swimming'],"[""Men's 4 x 100m Medley Relay"", 'Relay Only Athlete']",1999-12-08
